QB,RB,RB,WR,WR,WR,TE,FLEX,DST
Brock Purdy (44132573),Ashton Jeanty (44132666),Javonte Williams (44132674),Mike Evans (44132978),Rome Odunze (44133006),Deebo Samuel Sr. (44133010),Dallas Goedert (44133450),Tyjae Spears (44132732),Packers (44133746)
Caleb Williams (44132568),David Montgomery (44132672),Woody Marks (44132744),CeeDee Lamb (44132968),DeVonta Smith (44132974),Garrett Wilson (44132996),Colston Loveland (44133446),T.J. Hockenson (44133480),Cowboys (44133752)
Dak Prescott (44132571),Saquon Barkley (44132662),Omarion Hampton (44132670),CeeDee Lamb (44132968),Terry McLaurin (44133014),Matthew Golden (44133036),Tucker Kraft (44133448),Brenton Strange (44133464),Panthers (44133757)
Jalen Hurts (44132569),Javonte Williams (44132674),Bucky Irving (44132682),DeVonta Smith (44132974),Mike Evans (44132978),Jalen Coker (44133022),Dallas Goedert (44133450),Justice Hill (44132776),Broncos (44133754)
Trevor Lawrence (44132577),Saquon Barkley (44132662),Ashton Jeanty (44132666),Stefon Diggs (44133012),Jakobi Meyers (44133030),Brian Thomas Jr. (44133032),Colston Loveland (44133446),Javonte Williams (44132674),Buccaneers (44133744)
Caleb Williams (44132568),Saquon Barkley (44132662),Chris Rodriguez Jr. (44132716),Mike Evans (44132978),Luther Burden III (44133002),Stefon Diggs (44133012),Tucker Kraft (44133448),Justice Hill (44132776),Eagles (44133743)
Brock Purdy (44132573),David Montgomery (44132672),Bhayshul Tuten (44132692),Chris Olave (44132970),Mike Evans (44132978),Luther Burden III (44133002),Brenton Strange (44133464),Deebo Samuel Sr. (44133010),Cowboys (44133752)
Lamar Jackson (44132567),Chase Brown (44132664),David Montgomery (44132672),DeVonta Smith (44132974),Brian Thomas Jr. (44133032),Jayden Reed (44133046),Juwan Johnson (44133462),Rashod Bateman (44133052),Eagles (44133743)
Brock Purdy (44132573),Kyle Monangai (44132702),Kenny Gainwell (44132718),Jaxon Smith-Njigba (44132962),Rome Odunze (44133006),Deebo Samuel Sr. (44133010),Dallas Goedert (44133450),Matthew Golden (44133036),Buccaneers (44133744)
Lamar Jackson (44132567),David Montgomery (44132672),Rachaad White (44132722),Chris Olave (44132970),Emeka Egbuka (44132982),Stefon Diggs (44133012),Mark Andrews (44133456),Adonai Mitchell (44133072),Bears (44133751)
Brock Purdy (44132573),Javonte Williams (44132674),Bucky Irving (44132682),CeeDee Lamb (44132968),Garrett Wilson (44132996),Jayden Reed (44133046),George Kittle (44133452),Tyjae Spears (44132732),Bears (44133751)
Dak Prescott (44132571),Chase Brown (44132664),Rachaad White (44132722),CeeDee Lamb (44132968),Emeka Egbuka (44132982),Adonai Mitchell (44133072),Tucker Kraft (44133448),Tyjae Spears (44132732),Bears (44133751)
Jordan Love (44132576),Saquon Barkley (44132662),Bhayshul Tuten (44132692),CeeDee Lamb (44132968),Christian Watson (44132986),Jalen Coker (44133022),George Kittle (44133452),Woody Marks (44132744),Panthers (44133757)
Caleb Williams (44132568),Saquon Barkley (44132662),Ashton Jeanty (44132666),Luther Burden III (44133002),Jayden Reed (44133046),Adonai Mitchell (44133072),Colston Loveland (44133446),Kenny Gainwell (44132718),Buccaneers (44133744)
Geno Smith (44132591),Saquon Barkley (44132662),David Montgomery (44132672),Christian Watson (44132986),Garrett Wilson (44132996),Jalen Coker (44133022),Dallas Goedert (44133450),Chris Rodriguez Jr. (44132716),Eagles (44133743)
Drake Maye (44132574),Ashton Jeanty (44132666),Bucky Irving (44132682),Chris Olave (44132970),Emeka Egbuka (44132982),Rome Odunze (44133006),Hunter Henry (44133460),Pat Freiermuth (44133472),Cowboys (44133752)
Trevor Lawrence (44132577),Chase Brown (44132664),Ashton Jeanty (44132666),Luther Burden III (44133002),Rome Odunze (44133006),Jakobi Meyers (44133030),Mark Andrews (44133456),Chris Rodriguez Jr. (44132716),Eagles (44133743)
Dak Prescott (44132571),Saquon Barkley (44132662),Omarion Hampton (44132670),George Pickens (44132984),Terry McLaurin (44133014),Jakobi Meyers (44133030),Juwan Johnson (44133462),Bhayshul Tuten (44132692),Bears (44133751)
Jordan Love (44132576),Chase Brown (44132664),Ashton Jeanty (44132666),Garrett Wilson (44132996),Matthew Golden (44133036),Cooper Kupp (44133070),Mark Andrews (44133456),Omarion Hampton (44132670),49ers (44133742)
Caleb Williams (44132568),Breece Hall (44132680),Bucky Irving (44132682),Jaxon Smith-Njigba (44132962),Deebo Samuel Sr. (44133010),Adonai Mitchell (44133072),Colston Loveland (44133446),T.J. Hockenson (44133480),Eagles (44133743)
